"order_purchase_timestamp","order_approved_at","order_delivered_carrier_date","order_delivered_customer_date","order_estimated_delivery_date","order_item_id","shipping_limit_date","price","freight_value","category_name","product_weight_g","volume_cm3","review_score","review_comment_message","customer_zip_code_prefix","customer_unique_id","customer_city","geolocation_lat","geolocation_lng","seller_zip_code_prefix","seller_city","geolocation_lat","geolocation_lng","delivered_on_time"
"2017-04-26 10:53:06","2017-04-26 11:05:13","2017-05-04 14:35:00","2017-05-12 16:04:24","2017-05-15","1","2017-05-03 11:05:13","239.89999389648438","19.93000030517578","pet_shop","30000.0","60000.0","4.0","","15775","eb28e67c4c0b83846050ddfb8a35d051","SANTA FE DO SUL","-20.21440777210609","-50.92766625263081","3471","SAO PAULO","-23.56625832001269","-46.51841724632121","1"
"2017-12-10 11:53:48","2017-12-10 12:10:31","2017-12-12 01:07:48","2017-12-18 22:03:38","2018-01-04","1","2017-12-14 12:10:31","19.899999618530273","11.850000381469727","telephony","200.0","2700.0","4.0","","16700","635d9ac1680f03288e72ada3a1035803","GUARARAPES","-21.25229276246601","-50.64393003767191","1026","SAO PAULO","-23.539616057447088","-46.631187497778285","1"
"2018-05-11 20:33:38","2018-05-11 20:57:03","2018-05-16 14:26:00","2018-05-18 16:46:31","2018-05-22","1","2018-05-16 20:57:03","144.0","8.770000457763672","perfumery","468.0","7866.0","1.0","Mudo minha opinião assim que receber o produto.","13458","6457be0b331148fb5454efc88d1e03d9","SANTA BARBARA D'OESTE","-22.768426677099153","-47.410638238877546","13030","CAMPINAS","-22.927037889090464","-47.07697697887436","1"
"2017-11-24 19:19:18","2017-11-24 22:38:47","2017-11-27 12:42:15","2017-12-22 18:37:40","2017-12-14","1","2017-11-29 22:38:47","99.0","13.710000038146973","bed_bath_table","1550.0","20944.0","2.0","","8072","55a269f324455e78349e7b9b7e7e5911","SAO PAULO","-23.48618566157444","-46.46171801285908","14940","IBITINGA","-21.769615332321468","-48.827194480743294","0"
"2017-09-25 17:39:29","2017-09-25 17:50:16","2017-09-26 22:31:51","2017-09-27 16:52:40","2017-10-10","1","2017-09-29 17:50:16","59.900001525878906","9.9399995803833","bed_bath_table","1000.0","5000.0","5.0","","5727","3c857a6f7828bfb70fb712e2393cfd1b","SAO PAULO","-23.628323955306193","-46.737165055081164","18110","VOTORANTIM","-23.540699932021333","-47.45842622799934","1"
"2017-09-25 17:39:29","2017-09-25 17:50:16","2017-09-26 22:31:51","2017-09-27 16:52:40","2017-10-10","2","2017-09-29 17:50:16","59.900001525878906","9.9399995803833","bed_bath_table","400.0","4200.0","5.0","","5727","3c857a6f7828bfb70fb712e2393cfd1b","SAO PAULO","-23.628323955306193","-46.737165055081164","18110","VOTORANTIM","-23.540699932021333","-47.45842622799934","1"
"2017-08-10 16:13:36","2017-08-11 07:15:16","2017-08-16 18:27:40","2017-08-29 20:03:08","2017-08-30","1","2017-08-17 07:15:16","116.9000015258789","13.84000015258789","health_beauty","1350.0","4374.0","5.0","","12212","5eb8cc30e45a67bdb05240e7e735967d","SAO JOSE DOS CAMPOS","-23.167376442907983","-45.893063661885556","14110","RIBEIRAO PRETO","-21.26545713811648","-47.80925166665395","1"
"2017-12-02 01:20:28","2017-12-02 01:29:28","2017-12-06 00:22:42","2017-12-07 20:43:52","2018-01-03","1","2017-12-07 01:29:28","49.900001525878906","7.78000020980835","fashion_bags_accessories","100.0","1600.0","5.0","","1451","fd01a8dd276ac93aec73fde385389de9","SAO PAULO","-23.584257659732206","-46.68248823050949","2252","SAO PAULO","-23.479316999999995","-46.5904340471753","1"
"2018-03-22 22:52:46","2018-03-22 23:07:23","2018-03-31 14:18:55","2018-04-05 19:18:35","2018-04-11","1","2018-03-28 23:07:23","39.849998474121094","12.789999961853027","health_beauty","317.0","2244.0","2.0","Demorou para entregar e quando chegou veio errado. ","14150","34acad212e30cd0d511be1034e2f9821","SERRANA","-21.201614712250862","-47.60536584157024","17320","MINEIROS DO TIETE","-22.40983742501461","-48.45042421567509","1"
"2018-05-14 13:44:52","2018-05-15 04:52:44","2018-05-17 10:45:00","2018-05-22 22:23:37","2018-05-29","1","2018-05-18 04:52:44","219.99000549316406","14.899999618530273","toys","550.0","12000.0","4.0","Muito bom Produto!!","11920","bb7422969f2b502894c5b02697ba986d","IGUAPE","-24.713549315968127","-47.56868013606395","5530","SAO PAULO","-23.577073040798666","-46.7199426382077","1"
"2018-05-03 18:55:20","2018-05-05 03:33:43","2018-05-07 11:10:00","2018-05-08 20:58:26","2018-05-18","1","2018-05-10 03:31:09","49.900001525878906","7.389999866485596","sports_leisure","150.0","2816.0","5.0","Segunda compra com esta empresa, muito bom o produto e o prazo de entrega sempre antecipado ,muito obrigado!","5087","9bc0afc85b2f40c797f96f7911397708","SAO PAULO","-23.5249524676841","-46.72169099999999","3933","SAO PAULO","-23.583430697472455","-46.502034244243724","1"
"2017-08-13 16:44:57","2017-08-13 16:55:17","2017-08-14 16:12:41","2017-08-18 10:24:01","2017-08-25","1","2017-08-17 16:55:17","57.9900016784668","11.729999542236328","baby","1000.0","15750.0","5.0","","5642","634348bbcede56e5731bfb277a34ca80","SAO PAULO","-23.618208343586","-46.73288225826642","3426","SAO PAULO","-23.554079433810344","-46.53324185942636","1"
"2018-03-20 20:31:23","2018-03-22 02:56:19","2018-03-22 23:48:27","2018-03-23 18:04:16","2018-04-02","1","2018-03-28 02:56:19","199.0","8.739999771118164","bed_bath_table","5650.0","13800.0","1.0","Me entregaram um tapete errado. Estou aguardando providencias","17053","4125ca92d09b7d7a7709209878845a0e","BAURU","-22.354021865658773","-49.07216963085012","14940","IBITINGA","-21.758386762044307","-48.826435165484405","1"
"2018-05-01 02:04:16","2018-05-03 04:12:53","2018-05-10 19:19:00","2018-05-16 21:12:15","2018-05-14","1","2018-05-09 04:12:53","11.529999732971191","7.389999866485596","perfumery","100.0","1936.0","1.0","Comprei o rímel tango de embalagem vermelha e recebi outro produto. Entrei em contato com a lannister solicitando informações para a troca e até agora ninguém respondeu.","11725","67339b5ed21a26219ebbeba53fba836a","PRAIA GRANDE","-23.999145999163286","-46.41971775076462","3694","SAO PAULO","-23.537922030359404","-46.47769578680452","0"
