"seller_zip_code_prefix","seller_id","seller_city","geolocation_lat","geolocation_lng"
"1238","f00f5b35d0abcacbdd863672f4bb2c1a","SAO PAULO","-23.54195269441404","-46.65931762155928"
"11450","9b013e03b2ab786505a1d3b5c0756754","VICENTE DE CARVALHO","-23.939318620030072","-46.30539278864907"
"3370","e3d3b3efac954a60d61be70b7e05b49b","SAO PAULO","-23.56799537246812","-46.55762524340702"
"7192","5563732abe64c3036cb97ad924128dd1","GUARULHOS","-23.451856155981304","-46.50616235789715"
"3561","b5b800c4065bebf4d3442311c9857344","SAO PAULO","-23.547426852068778","-46.49706910491086"
"17400","160851d3ece7aa1a510f8d1a4bb8a8af","GARCA","-22.207471450417557","-49.66454282461354"
"3062","ae45df84722b1d15c5f32b23a095746c","SAO PAULO","-23.54268733028447","-46.59453248320733"
"13960","a5a1bfcf728ab0e19182959cf0771ee4","SOCORRO","-22.59496246184797","-46.521509282521215"
"2727","70b52a4cfc823994561b00bad161b4ed","SAO PAULO","-23.496255366639726","-46.68632056549718"
"15130","ffeee66ac5d5a62fe688b9d26f83f534","MIRASSOL","-20.806068345905754","-49.50314249273567"
"1208","70c4eedec9cb4a85cda2f3f9673557b4","SAO PAULO","-23.540822507357582","-46.6397147149576"
"6717","33ac3e28642ab8bda860a2f693000e78","COTIA","-23.60835991345294","-46.9219294390137"
"1223","7e959205cebc10adefcb331f934238a4","SAO PAULO","-23.54377251788917","-46.6482729970858"
"1201","610f72e407cdd7caaa2f8167b0163fd8","SAO PAULO","-23.53435725950717","-46.64935629739165"
"3725","503c1de08ae81a2d86f17951b204db55","SAO PAULO","-23.50123246128435","-46.519058483621635"
"6056","55f7a3319d80f7fdf078b8f03e6725fe","OSASCO","-23.565986162357948","-46.785042126550934"
"15085","5c3460cd3e8a984382ae254e7dd20d9f","SAO JOSE DO RIO PRETO","-20.840885432202327","-49.382340619858695"
"3679","5a413ade68e8f8d93071a7f52a64cb9e","SAO PAULO","-23.51743989953255","-46.48587764709451"
"7600","93b9a99027bd8bd6af682aff18dd19bf","MAIRIPORA","-23.323581622627874","-46.571516434161296"
"8260","8ff38bc3969e67c36c48343a07090f66","SAO PAULO","-23.57090931531151","-46.4279956630623"
"13500","730937bf88cb151eb2eb849f642fc213","RIO CLARO","-22.402133192076768","-47.56233402025511"
"8270","6f892e20a171e98efe17fdb971ff319b","SAO PAULO","-23.561429793236705","-46.45562471787179"
