"seller_id","seller_zip_code_prefix","seller_city"
"3442f8959a84dea7ee197c632cb2df15","13023","CAMPINAS"
"d1b65fc7debc3361ea86b5f14c68d2e2","13844","MOGI GUACU"
"c0f3eea2e14555b6faeea3dd58c1b1c3","4195","SAO PAULO"
"51a04a8a6bdcb23deccc82b0b80742cf","12914","BRAGANCA PAULISTA"
"1b938a7ec6ac5061a66a3766e0e75f90","16304","PENAPOLIS"
"768a86e36ad6aae3d03ee3c6433d61df","1529","SAO PAULO"
"a7a9b880c49781da66651ccf4ba9ac38","13530","ITIRAPINA"
"8bd0f31cf0a614c658f6763bd02dea69","1222","SAO PAULO"
"05a48cc8859962767935ab9087417fbb","5372","SAO PAULO"
"f9ec7093df3a7b346b7bcf7864069ca3","5138","SAO PAULO"
"4e6015589b781adaa5ce7f1892d06bb1","11440","GUARUJA"
"4cf490a58259286ada5ba8525ba9e84a","14910","TABATINGA"
"f7496d659ca9fdaf323c0aae84176632","4156","SAO PAULO"
"2ff97219cb8622eaf3cd89b7d9c09824","13320","SALTO"
"116ccb1a1604bc88e4d234a8c23f33de","9850","SAO BERNARDO DO CAMPO"
"430315b7bb4b6e4b3c978f9dfa9b0558","4857","SAO PAULO"
"406822777a0b9eb5c50e442dd4cd3ec5","18500","TATUI"
"e9e446d01bd10a97a8ffcfc4a3a20cb2","2261","SAO PAULO"
"d9a84e1403de8da0c3aa531d6d108ba6","3562","SAO PAULO"
"1f9ab4708f3056ede07124aad39a2554","17602","TUPA"
"1961c3e1272bfeceb05d0b78b5bbfdaf","7241","GUARULHOS"
"ec2e006556300a79a5a91e4876ab3a56","3445","SAO PAULO"
"b2a6d334e2833acea353624840e25a0e","4133","SAO PAULO"
"c0f783394e37cd9c9d7f5f81141450fa","13416","PIRACICABA"
"8759e7aedd644f487315e5860962f162","9251","SANTO ANDRE"
"e546117ed9cafbc40239c0c78635c584","4705","SAO PAULO"
"d71d863e5ef30d94e440c11be17dcd8f","6144","OSASCO"
"0c7533c71df861ec58ad7ff999ed0e8d","13270","VALINHOS"
"41e0fa5761c886a630994a55c12087e7","11446","GUARUJA"
"cbbd5ae8f53de5f5097cd8217b529e24","6544","SANTANA DE PARNAIBA"
"02ecc2a19303f05e59ce133fd923fff7","9121","SANTO ANDRE"
"c013e57c075a06e5b5c48ee03c525719","13568","SAO CARLOS"
"55f7a3319d80f7fdf078b8f03e6725fe","6056","OSASCO"
"2d50d6282f8aa2257819a77bfaa0efe0","14940","IBITINGA"
"b7e1750c1157341d2abd0251e07c186b","5741","SAO PAULO"
"a416b6a846a11724393025641d4edd5e","3702","SAO PAULO"
"7e93a43ef30c4f03f38b393420bc753a","6429","BARUERI"
"5206cc4bc2297c833e6061c49bf9c43f","6192","OSASCO"
"f410c8873029fcc3809b9df6d0b28914","95076","CAXIAS DO SUL"
"ef506c96320abeedfb894c34db06f478","3569","SAO PAULO"
"b2479f944e1b90cf8a5de1bbfde284d6","14940","IBITINGA"
"7722b1df1b0e383e000397b2c11e3e19","9715","SAO BERNARDO DO CAMPO"
"3296662b1331dea51e744505065ae889","15805","CATANDUVA"
"411f3b52d857390502ee4e4d5ceabc2d","9400","RIBEIRAO PIRES"
"bba3293d6f5d5af2f415e004e8b93ae3","4726","SAO PAULO"
"4e7c18b98d84e05cbae3ff0ff03846c2","14882","JABOTICABAL"
"b56906f7fd1696e043f1bcce164c487b","19830","ECHAPORA"
"d650b663c3b5f6fb392b6326366efa9a","6713","COTIA"
"c2d70ce2c5d0a2eb75e78668236e6dc8","4275","SAO PAULO"
"674207551483fec113276b67b0d871ff","18040","SOROCABA"
"1996942dc085d7773ba77a529b163cd0","14850","PRADOPOLIS"
"7cf4ea70955b00d6b3c22542598e2715","1125","SAO PAULO"
"83353a83fd769dfafa4f21a72b15e3e5","5786","SAO PAULO"
"cda598c48d7c614bc1cad7d8ff6f0010","15137","MIRASSOL"
"d4910f1cdcfdabd48d6b316e395d4a23","9190","SANTO ANDRE"
"709e16e2b25c7474d980076c6bfc4806","16200","BIRIGUI"
"9dc79dd988ac42f4d56c340d7048420a","3569","SAO PAULO"
"422be4cc81a457fdb46f47edeb968ae5","14940","IBITINGA"
"99cd94252748d2bdde08e17858233602","12401","SAO PAULO"
"698624c6632eeba1774924dbea24c700","1425","SAO PAULO"
"8bb48dc19fccaa8613b6229bf7f452a2","19803","ASSIS"
"ad87df7699e83b8a91822a4a0b765c3a","13820","JAGUARIUNA"
"d6b664fa0667064c6d76394e7848d790","14801","ARARAQUARA"
"62760d278921b5f352461620d68a9cee","13320","SALTO"
"eb72802c83dc7547529c9546d1a9b8ef","13504","RIO CLARO"
"1d4587203296c8f4ad134dc286fa6db0","5101","SAO PAULO"
"791cfcfe22fe4a771ece27f90017da92","14010","RIBEIRAO PRETO"
"37be5a7c751166fbc5f8ccba4119e043","4248","SAO PAULO"
"87d73636a3acf123e842bb890a4db036","15190","NHANDEARA"
"3d3ccf2b2f8134b10dce9dd446f0e075","14940","IBITINGA"
"e24d3429d294b2eb200b064ebb035879","3514","SAO PAULO"
"05ca864204d09595ae591b93ea9cf93d","6465","BARUERI"
"9d39404483343dd55c7ae254494d8388","1044","SAO PAULO"
"0692610d8abe24f287e9fae90ea0bbee","2310","SAO PAULO"
"7b07b3c7487f0ea825fc6df75abd658b","2016","SAO PAULO"
"e5899683388855d3dabe8913bbe365de","13575","SAO CARLOS"
"784ba75dd9d20200c4caed3d7a77141a","1040","SAO PAULO"
"099095b050cfe8eb1ddff5317587e96e","3322","SAO PAULO"
"ea00f977a203ff88adf7057cb7806998","11085","SANTOS"
"82e0a475a88cc9595229d8029273f045","3417","SAO PAULO"
"ed4acab38528488b65a9a9c603ff024a","8260","SAO PAULO"
"fce62094ffe6a4009188ec44e681dfdd","4674","SAO PAULO"
"ebef8d8c92b4fd3226e5d407bbff21ac","14020","RIBEIRAO PRETO"
"26e13b6ff5b641b329e5524241ee2c93","14401","FRANCA"
"b18dc380845b24038cfc48006478f099","9951","DIADEMA"
"f22a247b79dd22ecd91dc8e3b2a1b07c","8573","ITAQUAQUECETUBA"
"889009a0ed0bb52c87819941192931b8","18682","LENCOIS PAULISTA"
"ffc470761de7d0232558ba5e786e57b7","7091","GUARULHOS"
"4c498c7345e89aebad651544829beca0","6341","CARAPICUIBA"
"024b564ae893ce8e9bfa02c10a401ece","3280","SAO PAULO"
"a513150f33f99a06569e9cd5c4bb889b","1545","SAO PAULO"
"c1dde11f12d05c478f5de2d7319ad3b2","1026","SAO PAULO"
"f12ff17ad8bbf01ec5c33b17e506649b","3186","SAO PAULO"
"a64e44665225d19dfc0277eeeaaccc57","19400","SAO PAULO"
"6a8a889bde935bafa76d7848782dfaf9","2839","SAO PAULO"
"d6cd01c59123df02fc226eadbadb5f89","1207","SAO PAULO"
"c8e135e7b21ecbc36c1153a29d2f5a06","1411","SAO PAULO"
"f9a02f1922d1de564392e656d82b3fda","8502","FERRAZ DE VASCONCELOS"
"9523fb39dd240aa958e040f8183d64f3","1541","SAO PAULO"
"95ec4458365c4d11f452ccf538377619","13481","LIMEIRA"
"6ec1a01e866584bb679eb9b098345919","11040","SANTOS"
"f6122bc84774df1b372bdb3bb88ddb9f","6436","BARUERI"
"fa40cc5b934574b62717c68f3d678b6d","2310","SAO PAULO"
"c0098efcf800861dcae589affca31408","14080","RIBEIRAO PRETO"
"48b6c3f4c6a93171da04b75313f2130f","17700","OSVALDO CRUZ"
"270d3ef21830ad0ecf3a6c53d08a533a","6380","CARAPICUIBA"
"89c127985a8b130cfa45c1d36764017a","6016","OSASCO"
"8e34331b7eedd03be4e5d965c1956225","4009","SAO PAULO"
"11d4c477d09821164bca4f70a2eae031","14075","RIBEIRAO PRETO"
"ff314fa6033cc68ec451c47aee2d6ba4","5424","SAO PAULO"
"e819bcfade7b5d88a27325eb6cfd62c5","7242","GUARULHOS"
"6d2f2e3b539480db1e0842b3a4e32e6e","7051","GUARULHOS"
"e88165a185134e13fdfc85d4fa654db8","8517","FERRAZ DE  VASCONCELOS"
"9e6229250fedbe05838fef417b74e7fb","16800","MIRANDOPOLIS"
"817245bcc3badd82bbd222e0366951a6","17056","BAURU"
"caa9bc43a9fe8cf9c564ddd8a03cc4a6","12308","JACAREI"
"615005a3ef192c00c6f0e977cee3d2bc","13304","ITU"
"1284de4ae8aa26997e748c851557cf0e","85301","LARANJEIRAS DO SUL"
"5fd924b4836098a5be0ecf81ba054ce0","3554","SAO PAULO"
