order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,interval_code_delivered_carrier,order_delivered_customer_date,interval_code_delivered_customer,order_estimated_delivery_date,shipping_limit_date,holiday_at_shipping,days_since_last_holiday,days_until_next_holiday,is_holiday_in_7_days,is_holiday_in_14_days,had_holiday_7_days_ago,had_holiday_14_days_ago,purchase_hour,purchase_day_of_week,is_weekend,delivered_on_time,price,freight_value,product_weight_g,volume_cm3,distance_km,category_name,customer_city,seller_city,same_city,review_score
2017-04-26T10:53:06.000Z,2017-04-26T11:05:13.000Z,2017-05-04T14:35:00.000Z,3,2017-05-12T16:04:24.000Z,3,2017-05-15T00:00:00.000Z,2017-05-03T11:05:13.000Z,0,3,42,0,0,1,1,10,3,0,1,239.9,19.93,30000,60000.0,588.028,pet_shop,SANTA FE DO SUL,SAO PAULO,0,4.0
2018-08-08T10:00:35.000Z,2018-08-08T10:10:18.000Z,2018-08-10T13:28:00.000Z,3,2018-08-14T13:32:39.000Z,3,2018-08-20T00:00:00.000Z,2018-08-15T10:10:18.000Z,0,32,28,0,0,0,0,10,3,0,1,12.99,12.79,200,2400.0,290.973,perfumery,ATIBAIA,FRANCA,0,4.0
2017-12-10T11:53:48.000Z,2017-12-10T12:10:31.000Z,2017-12-12T01:07:48.000Z,1,2017-12-18T22:03:38.000Z,4,2018-01-04T00:00:00.000Z,2017-12-14T12:10:31.000Z,0,27,13,0,1,0,0,11,0,0,1,19.9,11.85,200,2700.0,484.597,telephony,GUARARAPES,SAO PAULO,0,4.0
2018-03-19T18:40:33.000Z,2018-03-20T18:35:21.000Z,2018-03-28T00:37:42.000Z,1,2018-03-29T18:17:31.000Z,4,2018-03-29T00:00:00.000Z,2018-03-26T18:31:29.000Z,0,43,2,1,1,0,0,18,1,0,0,145.95,11.65,2000,5760.0,52.977,health_beauty,SANTOS,SAO PAULO,0,1.0
2018-07-02T13:59:39.000Z,2018-07-02T14:10:56.000Z,2018-07-03T14:25:00.000Z,3,2018-07-04T17:28:31.000Z,3,2018-07-23T00:00:00.000Z,2018-07-06T14:10:56.000Z,0,33,6,1,1,0,0,13,1,0,1,53.99,11.4,850,1827.0,33.16,books_technical,JANDIRA,SAO PAULO,0,4.0
2018-07-27T17:21:27.000Z,2018-07-27T18:00:06.000Z,2018-07-30T14:52:00.000Z,3,2018-08-07T13:56:52.000Z,3,2018-08-07T00:00:00.000Z,2018-07-31T17:30:39.000Z,0,21,39,0,0,0,0,17,5,1,0,45.0,12.98,200,2816.0,317.828,fashion_bags_accessories,MONTE ALTO,SAO PAULO,0,5.0
2018-02-13T22:10:21.000Z,2018-02-15T03:55:52.000Z,2018-02-20T18:23:28.000Z,4,2018-02-26T13:55:22.000Z,3,2018-03-06T00:00:00.000Z,2018-02-21T02:55:52.000Z,0,7,38,0,0,1,1,22,2,0,1,49.9,13.37,1650,19800.0,397.633,garden_tools,JANDIRA,SAO JOSE DO RIO PRETO,0,5.0
2018-02-13T22:10:21.000Z,2018-02-15T03:55:52.000Z,2018-02-20T18:23:28.000Z,4,2018-02-26T13:55:22.000Z,3,2018-03-06T00:00:00.000Z,2018-02-21T02:55:52.000Z,0,7,38,0,0,1,1,22,2,0,1,49.9,13.37,1650,19800.0,397.633,garden_tools,JANDIRA,SAO JOSE DO RIO PRETO,0,5.0
2018-05-11T20:33:38.000Z,2018-05-11T20:57:03.000Z,2018-05-16T14:26:00.000Z,3,2018-05-18T16:46:31.000Z,3,2018-05-22T00:00:00.000Z,2018-05-16T20:57:03.000Z,0,15,15,0,0,0,0,20,5,1,1,144.0,8.77,468,7866.0,38.471,perfumery,SANTA BARBARA D'OESTE,CAMPINAS,0,1.0
2017-08-12T10:08:57.000Z,2017-08-15T03:35:32.000Z,2017-08-15T15:32:51.000Z,3,2017-08-19T15:22:17.000Z,3,2017-09-01T00:00:00.000Z,2017-08-21T03:33:13.000Z,0,37,23,0,0,0,0,10,6,1,1,99.0,13.71,1800,4096.0,248.307,sports_leisure,JUNDIAI,RIBEIRAO PRETO,0,5.0
2017-11-21T18:54:23.000Z,2017-11-21T19:09:02.000Z,2017-11-22T20:46:54.000Z,4,2017-12-09T17:27:23.000Z,3,2017-12-07T00:00:00.000Z,2017-11-27T19:09:02.000Z,0,7,33,0,0,1,1,18,2,0,0,21.99,11.85,300,816.0,318.21,telephony,SANTA CRUZ DO RIO PARDO,SAO PAULO,0,3.0
2018-01-16T21:43:23.000Z,2018-01-16T21:51:25.000Z,2018-01-23T22:08:06.000Z,4,2018-01-26T22:14:02.000Z,4,2018-02-15T00:00:00.000Z,2018-01-29T21:51:25.000Z,0,22,20,0,0,0,0,21,2,0,1,289.0,26.33,2965,37638.0,105.539,luggage_accessories,SAO PAULO,SERRA NEGRA,0,4.0
2018-02-06T19:11:57.000Z,2018-02-07T19:10:37.000Z,2018-02-08T17:44:13.000Z,3,2018-02-15T22:57:01.000Z,4,2018-03-02T00:00:00.000Z,2018-02-13T19:10:37.000Z,0,38,4,1,1,0,0,19,2,0,1,99.99,13.72,1200,15750.0,169.508,cool_stuff,CUNHA,SAO PAULO,0,5.0
2018-07-04T11:39:11.000Z,2018-07-06T02:51:10.000Z,2018-07-06T08:58:00.000Z,2,2018-07-12T17:48:49.000Z,3,2018-07-17T00:00:00.000Z,2018-07-10T02:51:10.000Z,0,36,3,1,1,0,0,11,3,0,1,54.0,8.54,418,1482.0,47.788,construction_tools_construction,CUBATAO,GUARULHOS,0,5.0
2017-11-24T19:19:18.000Z,2017-11-24T22:38:47.000Z,2017-11-27T12:42:15.000Z,3,2017-12-22T18:37:40.000Z,4,2017-12-14T00:00:00.000Z,2017-11-29T22:38:47.000Z,0,12,28,0,0,0,1,19,5,1,0,99.0,13.71,1550,20944.0,308.817,bed_bath_table,SAO PAULO,IBITINGA,0,2.0
2018-04-22T12:13:25.000Z,2018-04-24T17:24:48.000Z,2018-04-23T19:03:19.000Z,4,2018-05-02T20:38:44.000Z,4,2018-05-14T00:00:00.000Z,2018-04-26T12:30:57.000Z,0,2,8,0,1,1,1,12,0,0,1,109.9,13.21,588,4522.0,262.765,audio,ARARAQUARA,SAO PAULO,0,4.0
2017-09-25T17:39:29.000Z,2017-09-25T17:50:16.000Z,2017-09-26T22:31:51.000Z,4,2017-09-27T16:52:40.000Z,3,2017-10-10T00:00:00.000Z,2017-09-29T17:50:16.000Z,0,19,16,0,0,0,0,17,1,0,1,59.9,9.94,1000,5000.0,74.144,bed_bath_table,SAO PAULO,VOTORANTIM,0,5.0
2017-09-25T17:39:29.000Z,2017-09-25T17:50:16.000Z,2017-09-26T22:31:51.000Z,4,2017-09-27T16:52:40.000Z,3,2017-10-10T00:00:00.000Z,2017-09-29T17:50:16.000Z,0,19,16,0,0,0,0,17,1,0,1,59.9,9.94,400,4200.0,74.144,bed_bath_table,SAO PAULO,VOTORANTIM,0,5.0
2018-08-03T19:33:35.000Z,2018-08-03T20:04:14.000Z,2018-08-06T15:02:00.000Z,3,2018-08-07T11:32:11.000Z,2,2018-08-08T00:00:00.000Z,2018-08-07T20:04:14.000Z,0,28,32,0,0,0,0,19,5,1,1,85.0,12.9,1800,27000.0,90.338,housewares,SAO PAULO,PEDREIRA,0,5.0
2018-03-17T17:50:30.000Z,2018-03-17T18:08:43.000Z,2018-03-23T19:24:35.000Z,4,2018-03-27T22:34:57.000Z,4,2018-03-29T00:00:00.000Z,2018-03-22T18:08:43.000Z,0,38,7,1,1,0,0,17,6,1,1,220.0,8.89,710,6930.0,99.796,computers_accessories,BARUERI,SAO JOSE DOS CAMPOS,0,3.0
2018-02-06T13:06:45.000Z,2018-02-06T13:15:37.000Z,2018-02-06T21:52:33.000Z,4,2018-02-08T19:06:53.000Z,4,2018-02-22T00:00:00.000Z,2018-02-12T13:15:37.000Z,0,36,6,1,1,0,0,13,2,0,1,229.0,9.8,500,3300.0,59.712,watches_gifts,RIBEIRAO PIRES,BARUERI,0,5.0
2017-08-10T16:13:36.000Z,2017-08-11T07:15:16.000Z,2017-08-16T18:27:40.000Z,4,2017-08-29T20:03:08.000Z,4,2017-08-30T00:00:00.000Z,2017-08-17T07:15:16.000Z,0,38,22,0,0,0,0,16,4,0,1,116.9,13.84,1350,4374.0,289.185,health_beauty,SAO JOSE DOS CAMPOS,RIBEIRAO PRETO,0,5.0
2017-09-26T15:24:03.000Z,2017-09-26T15:49:17.000Z,2017-09-28T18:42:42.000Z,4,2017-09-29T18:29:50.000Z,4,2017-10-11T00:00:00.000Z,2017-10-02T15:49:17.000Z,0,21,14,0,1,0,0,15,2,0,1,7.79,7.78,200,960.0,18.702,,SAO PAULO,SAO PAULO,1,5.0
2017-06-11T09:46:11.000Z,2017-06-11T10:02:38.000Z,2017-06-12T15:45:00.000Z,3,2017-06-16T16:27:55.000Z,3,2017-07-03T00:00:00.000Z,2017-06-15T10:02:38.000Z,0,42,3,1,1,0,0,9,0,0,1,129.99,13.93,1600,15750.0,348.008,cool_stuff,OURINHOS,SAO PAULO,0,5.0
2018-08-07T22:03:44.000Z,2018-08-07T22:15:22.000Z,2018-08-08T14:11:00.000Z,3,2018-08-16T19:58:24.000Z,4,2018-08-15T00:00:00.000Z,2018-08-14T22:15:22.000Z,0,30,30,0,0,0,0,22,2,0,0,33.89,8.4,388,3584.0,17.173,food,FERRAZ DE VASCONCELOS,SAO PAULO,0,1.0
