order_delivered_carrier_date,holiday_at_shipping,order_delivered_customer_date,approval_time_hours,handling_time_hours,shipping_delay_hours,delivery_time_days,purchase_hour,purchase_day_of_week,is_weekend,price,freight_value,product_weight_g,volume_cm3,distance_km,same_city,review_score,delivered_on_time,seller_geolocation_lat,seller_geolocation_lng,seller_total_rainfall_period_mm,seller_max_rain_intensity_mm_h,seller_max_wind_gust_period_ms,seller_interval_code,seller_rain_class_code,seller_wind_class_code,customer_geolocation_lat,customer_geolocation_lng,customer_total_rainfall_period_mm,customer_max_rain_intensity_mm_h,customer_max_wind_gust_period_ms,customer_interval_code,customer_rain_class_code,customer_wind_class_code
2017-03-02T04:55:33.000Z,0,2017-03-08T10:34:48.000Z,0.2,236.22,140.42,16.086,8,1,0,14.0,10.96,200,2576.0,114.802,0,3.0,1,-23.52389,-46.86945,0.0,0.0,7.8,1,0,4,-24.53305554,-47.86416666,0.0,0.0,4.2,2,0,3
2017-03-14T11:01:57.000Z,0,2017-03-20T09:14:09.000Z,0.0,14.566,-81.434,6.532,20,1,0,56.0,11.0,150,4368.0,154.181,0,4.0,1,-23.951972,-46.530472,0.1,0.1,7.9,2,1,4,-24.53305554,-47.86416666,1.2,0.6,3.2,2,1,2
2017-05-19T10:44:55.000Z,0,2017-05-24T08:41:30.000Z,38.004,8.343,-135.657,6.845,12,3,0,66.9,13.49,1230,5184.0,267.086,0,5.0,1,-22.4711111,-48.5575,2.0,0.4,8.3,2,1,5,-24.71666666,-47.55,0.0,0.0,1.4,2,0,1
2017-05-18T06:11:40.000Z,0,2017-05-24T12:18:12.000Z,0.128,37.606,-106.394,7.827,16,2,0,169.0,19.07,6400,43659.0,205.393,0,5.0,1,-23.48333333,-46.61666666,0.0,0.0,8.2,2,0,5,-24.533139,-47.864139,0.0,0.0,4.1,3,0,3
2017-05-23T06:27:42.000Z,0,2017-05-30T07:24:55.000Z,1.124,82.084,-157.916,10.507,19,5,1,69.9,11.99,500,25200.0,344.801,0,5.0,1,-21.855567,-48.799717,0.0,0.0,5.7,2,0,4,-24.671654,-47.545896,0.8,0.6,8.0,2,1,5
2017-05-29T10:02:28.000Z,0,2017-06-02T07:51:38.000Z,0.183,98.622,-45.378,8.026,7,4,0,69.9,11.99,300,3072.0,170.629,0,3.0,1,-23.48333333,-46.61666666,0.2,0.2,3.4,2,1,3,-24.53305554,-47.86416666,0.0,0.0,4.7,2,0,3
2017-06-30T16:09:18.000Z,0,2017-07-07T19:19:43.000Z,31.145,37.313,-106.688,9.985,19,2,0,59.9,17.13,7000,32994.0,123.751,0,5.0,1,-23.52333332,-46.86916666,0.0,0.0,7.8,3,0,4,-24.671654,-47.545896,0.0,0.0,6.1,4,0,4
2017-06-30T16:09:18.000Z,0,2017-07-07T19:19:43.000Z,31.145,37.313,-106.688,9.985,19,2,0,59.9,17.13,7000,32994.0,123.751,0,5.0,1,-23.52333332,-46.86916666,0.0,0.0,7.8,3,0,4,-24.671654,-47.545896,0.0,0.0,6.1,4,0,4
2017-07-25T19:13:32.000Z,0,2017-07-31T18:12:25.000Z,0.275,25.472,-70.528,7.03,17,1,0,69.9,13.51,600,9600.0,488.464,0,5.0,1,-20.165,-50.59499999,0.0,0.0,7.8,4,0,4,-24.53305554,-47.86416666,0.0,0.0,3.6,4,0,3
2017-07-26T14:57:42.000Z,0,2017-07-31T19:21:36.000Z,39.047,12.569,-131.431,7.334,11,1,0,44.49,11.85,1800,5780.0,160.636,0,5.0,1,-23.724501,-46.677501,0.0,0.0,4.3,3,0,3,-24.71666666,-47.55,0.2,0.2,3.5,4,1,3
